YEAR,Team,GP,Att,Yds,Avg,Yds/G,TD,Big,Fum,FumL,Stuff,Yds
2002,ARZ,16,414,1823,4.4,113.9,10,53,16,9,29,-80
2003,ARZ,16,403,1531,3.8,95.7,5,45,12,5,48,-135
2004,ARZ,16,475,1668,3.5,104.3,15,42,8,3,43,-90
2005,ARZ,16,360,1138,3.2,71.1,2,30,10,5,52,-153
2006,ARZ,16,419,1338,3.2,83.6,12,24,11,5,42,-88
2007,ARZ,16,402,1440,3.6,90,9,23,15,3,27,-58
2008,ARZ,16,340,1178,3.5,73.6,14,33,5,2,48,-90
2009,ARZ,16,365,1494,4.1,93.4,16,51,12,7,42,-90
2010,ARZ,16,320,1388,4.3,86.8,9,37,9,5,38,-73
2011,ARZ,16,389,1625,4.2,101.6,12,31,8,4,31,-62
2012,ARZ,16,352,1204,3.4,75.3,10,31,6,3,52,-125
2013,ARZ,16,422,1540,3.6,96.3,12,42,8,4,39,-86
2014,ARZ,16,397,1308,3.3,81.8,6,32,4,2,43,-117
2015,ARZ,16,452,1917,4.2,119.8,16,50,8,4,47,-96
2016,ARZ,16,399,1732,4.3,108.3,20,48,11,5,39,-89
2017,ARZ,16,409,1386,3.4,86.6,6,27,9,3,42,-91
2002,ATL,16,523,2368,4.5,148,23,62,10,6,47,-117
2003,ATL,16,435,1949,4.5,121.8,17,48,6,2,36,-92
2004,ATL,16,524,2672,5.1,167,20,73,8,4,31,-72
2005,ATL,16,531,2546,4.8,159.1,17,71,8,4,27,-75
2006,ATL,16,537,2939,5.5,183.7,9,86,8,3,34,-78
2007,ATL,16,385,1520,3.9,95,7,35,6,3,49,-97
2008,ATL,16,560,2443,4.4,152.7,23,69,8,3,64,-145
2009,ATL,16,451,1876,4.2,117.3,15,46,5,3,30,-76
2010,ATL,16,497,1891,3.8,118.2,14,41,5,4,41,-87
2011,ATL,16,453,1834,4,114.6,14,53,4,3,59,-115
2012,ATL,16,378,1397,3.7,87.3,12,35,4,2,45,-88
2013,ATL,16,321,1247,3.9,77.9,11,27,2,1,36,-68
2014,ATL,16,372,1498,4,93.6,11,34,4,2,34,-62
2015,ATL,16,420,1606,3.8,100.4,13,48,12,8,48,-122
