date,season,neutral,playoff,team1,team2,passingAtt_Adv,passingYdsG_Adv,passingQBR_Adv,rushingAtt_Adv,rushingYdsG_Adv,totteam1_Adv,totteam2_Adv,elo1,elo2,elo_prob1,score1,score2,result1,passingteam1Comp,passingteam1Att,passingteam1Pct,passingteam1Yds,passingteam1Avg,passingteam1Yds/G,passingteam1TD,passingteam1Int,passingteam1QBR,passingteam1Lng,passingteam2Comp,passingteam2Att,passingteam2Pct,passingteam2Yds,passingteam2Avg,passingteam2Yds/G,passingteam2TD,passingteam2Int,passingteam2QBR,passingteam2Lng,rushingAttteam1,rushingYdsteam1,rushingAvgteam1,rushingYds/Gteam1,rushingTDteam1,rushingBigteam1,rushingFumteam1,rushingFumLteam1,rushingAttteam2,rushingYdsteam2,rushingAvgteam2,rushingYds/Gteam2,rushingTDteam2,rushingBigteam2,rushingFumteam2,rushingFumLteam2,team1RushingRank,team1PassingRank,team2RushingRank,team2PassingRank,winPassingRank,winRushingRank
9/5/2002,2002,0,0,2002NYG,2002SF,1,0,0,1,1,2,3,1485.669,1561.242,0.484788925,13,16,1,338,549,0.616,3951,7.2,246.9,19,14,85.4,82,354,571,0.62,3457,6.1,216.1,23,10,86,76,486,1875,3.9,117.2,14,47,15,7,489,2244,4.6,140.3,16,62,6,5,14,6,6,14,6,14
9/8/2002,2002,0,0,2002CLE,2002KC,0,1,1,1,1,1,4,1446.242,1475.1,0.551825715,39,40,1,338,552,0.612,3412,6.2,213.3,27,22,80.5,78,292,477,0.612,3622,7.6,226.4,27,13,93.5,99,406,1615,4,100.9,10,39,6,2,462,2378,5.1,148.6,26,73,3,1,23,18,3,11,3,11
9/8/2002,2002,0,0,2002CHI,2002MIN,1,1,0,1,1,1,4,1565.787,1452.964,0.735679362,27,23,0,310,543,0.571,3051,5.6,190.7,22,18,74.8,76,337,558,0.604,3685,6.6,230.3,19,23,76.1,61,382,1344,3.5,84,8,30,14,8,473,2507,5.3,156.7,26,73,14,6,32,24,1,9,32,24
9/8/2002,2002,0,0,2002CAR,2002BAL,1,1,1,0,1,1,4,1370.952,1572.94,0.312476592,10,7,0,255,464,0.55,2694,5.8,168.4,15,22,65.7,69,262,479,0.547,2847,5.9,177.9,20,14,76.5,77,452,1586,3.5,99.1,11,43,10,7,427,1792,4.2,112,9,43,13,8,25,30,16,27,25,30
9/8/2002,2002,0,0,2002CIN,2002SD,0,0,0,1,1,3,2,1417.743,1407.844,0.606149033,6,34,1,350,591,0.592,3476,5.9,217.3,17,22,71.8,72,324,538,0.602,3188,5.9,199.3,17,16,76.5,52,426,1730,4.1,108.1,13,37,7,3,466,2137,4.6,133.6,19,69,3,0,21,13,8,22,8,22
9/8/2002,2002,0,0,2002DEN,2002LAR,1,1,0,0,0,3,2,1500.059,1653.843,0.374939964,23,16,0,359,554,0.648,3824,6.9,239,21,20,84.8,82,408,635,0.643,4154,6.5,259.6,24,27,79.9,58,457,2266,5,141.6,21,55,11,5,343,1405,4.1,87.8,11,40,9,7,5,8,30,2,5,8
9/8/2002,2002,0,0,2002BUF,2002NYJ,0,0,0,1,1,3,2,1413.251,1535.438,0.418436545,31,37,1,377,612,0.616,3995,6.5,249.7,24,15,86,73,329,485,0.678,3418,7.1,213.6,25,10,98.3,47,388,1596,4.1,99.8,17,47,14,8,400,1618,4,101.1,12,49,5,2,24,5,22,17,22,17
9/8/2002,2002,0,0,2002WSH,2002ARZ,0,0,1,0,0,4,1,1518.146,1428.844,0.708525538,31,23,0,300,559,0.537,3254,5.8,203.4,24,20,72.5,62,291,548,0.531,2740,5,171.3,18,22,63.7,80,442,1889,4.3,118.1,10,58,10,8,414,1823,4.4,113.9,10,53,16,9,13,21,15,29,13,21
9/8/2002,2002,0,0,2002TB,2002NO,0,0,0,1,1,3,2,1547.2,1450.99,0.716669222,20,26,1,348,567,0.614,3445,6.1,215.3,23,10,86.3,76,291,538,0.541,3441,6.4,215.1,27,15,80.8,64,414,1557,3.8,97.3,6,37,6,4,426,1764,4.1,110.3,16,45,9,4,27,15,17,16,17,16
9/8/2002,2002,0,0,2002OAK,2002SEA,0,0,1,1,0,3,2,1568.113,1494.824,0.689130077,31,17,0,418,619,0.675,4475,7.2,279.7,26,10,97.2,75,361,587,0.615,4078,7,254.9,19,16,83,83,414,1762,4.3,110.1,21,46,5,1,430,1740,4,108.8,17,41,6,3,18,1,20,3,18,1
